Area,Room,parking,warehouse,elevator,Address,Price,Price(USD)
55,1,1,1,1,"West Ferdows Boulevard",2150000000,71666.66666666667
110,2,1,1,1,"West Ferdows Boulevard",3750000000,125000
129,2,1,1,1,"West Ferdows Boulevard",5250000000,175000
109,2,1,1,1,"West Ferdows Boulevard",4830000000,161000
58,1,1,1,1,"Saadat Abad",3400000000,113333.33333333333
55,1,1,1,1,"Saadat Abad",3850000000,128333.33333333333
150,2,0,1,1,"Shahrake Qods",1200000000,40000
60,2,1,1,1,Unknown,2650000000,88333.33333333333
88,2,1,1,1,Gisha,4750000000,158333.33333333334
51,1,1,1,1,Gisha,2980000000,99333.33333333333
113,3,1,1,0,"Shahrake Gharb",7000000000,233333.33333333334
110,2,1,1,1,Ray,2035000000,67833.33333333333
98,2,1,1,1,Pardis,540000000,18000
62,2,0,0,1,"Ostad Moein",1450000000,48333.333333333336
150,3,1,1,1,Farmanieh,10000000000,333333.3333333333
75,2,0,0,0,Parand,635000000,21166.666666666668
61,1,1,1,0,Punak,2030000000,67666.66666666667
61,1,1,1,0,Punak,2030000000,67666.66666666667
72,2,1,1,1,Shahran,2350000000,78333.33333333333
100,2,1,1,1,Qasr-od-Dasht,3000000000,100000
122,3,1,1,1,Aqdasieh,7200000000,240000
215,3,1,1,1,Pakdasht,1750000000,58333.333333333336
101,2,1,1,1,Railway,3300000000,110000
67,2,1,1,1,Punak,2800000000,93333.33333333333
72,2,1,1,0,Punak,2200000000,73333.33333333333
63,1,1,1,0,Punak,2200000000,73333.33333333333
75,2,1,1,0,Punak,2200000000,73333.33333333333
109,2,1,1,1,Shahran,3500000000,116666.66666666667
122,2,1,1,1,Aqdasieh,7000000000,233333.33333333334
70,1,1,1,1,"Central Janatabad",3100000000,103333.33333333333
60,1,1,1,1,"West Ferdows Boulevard",2450000000,81666.66666666667
53,1,1,1,0,"East Ferdows Boulevard",1920000000,64000
72,2,1,1,1,Amirieh,1650000000,55000
74,2,1,1,1,Amirieh,1700000000,56666.666666666664
88,3,0,0,1,Parand,560000000,18666.666666666668
63,1,1,1,1,Punak,2150000000,71666.66666666667
114,3,1,1,1,Sattarkhan,5500000000,183333.33333333334
151,3,1,1,1,"Saadat Abad",10200000000,340000
42,1,1,0,1,Shahran,1760000000,58666.666666666664
74,2,1,1,1,Amirieh,1700000000,56666.666666666664
88,3,0,0,1,Parand,560000000,18666.666666666668
63,1,1,1,1,Punak,2150000000,71666.66666666667
114,3,1,1,1,Sattarkhan,5500000000,183333.33333333334
151,3,1,1,1,"Saadat Abad",10200000000,340000
42,1,1,0,1,Shahran,1760000000,58666.666666666664
300,3,1,1,0,Baghestan,1500000000,50000
110,2,1,1,1,"West Ferdows Boulevard",3730000000,124333.33333333333
100,2,0,0,0,"Shahrake Qods",620000000,20666.666666666668
140,1,0,0,0,Shahryar,580000000,19333.333333333332
70,2,1,1,1,"Northern Janatabad",3050000000,101666.66666666667
60,2,1,1,0,"West Ferdows Boulevard",2000000000,66666.66666666667
76,2,1,1,1,"North Program Organization",2600000000,86666.66666666667
75,2,1,1,1,"North Program Organization",2300000000,76666.66666666667
40,1,1,1,0,Pirouzi,1300000000,43333.333333333336
65,2,1,1,1,"Southern Program Organization",2270000000,75666.66666666667
140,3,1,1,1,Rudhen,4000000000,133333.33333333334
110,2,1,1,1,"West Pars",4000000000,133333.33333333334
128,3,1,1,1,Marzdaran,6700000000,223333.33333333334
94,2,1,1,1,Parand,580000000,19333.333333333332
67,1,1,1,1,Punak,2300000000,76666.66666666667
75,1,1,1,1,"Shahrake Qods",650000000,21666.666666666668
130,2,1,1,1,Dorous,16900000000,563333.3333333334
40,0,0,0,0,"Shahrake Qods",248000000,8266.666666666666
97,2,1,1,1,Pardis,510000000,17000
110,2,1,1,1,Shahran,3850000000,128333.33333333333
85,2,1,1,1,Parand,410000000,13666.666666666666
68,2,0,1,0,Pakdasht,430000000,14333.333333333334
85,2,1,1,1,Parand,545000000,18166.666666666668
100,2,1,1,0,Parand,1280000000,42666.666666666664
71,2,1,1,1,Punak,2800000000,93333.33333333333
140,3,1,1,1,Gisha,11200000000,373333.3333333333
136,3,1,1,0,Parand,750000000,25000
48,1,0,0,0,Jeyhoon,850000000,28333.333333333332
82,2,1,0,1,"Shams Abad",3280000000,109333.33333333333
139,3,1,1,1,Gisha,7300000000,243333.33333333334
78,2,0,0,1,Parand,370000000,12333.333333333334
79,2,0,0,0,Baghestan,750000000,25000
66,2,1,1,1,Salsabil,1725000000,57500
78,2,1,1,1,Kahrizak,780000000,26000
85,2,1,1,1,Shahryar,1419000000,47300
80,2,1,1,1,"Northren Jamalzadeh",3600000000,120000
44,1,1,1,0,Salsabil,1050000000,35000
120,2,1,1,0,Shahryar,1200000000,40000
50,1,0,1,0,"Shahrake Qods",340000000,11333.333333333334
121,3,1,1,0,"Ostad Moein",3300000000,110000
80,2,1,1,1,Azarbaijan,2800000000,93333.33333333333
40,0,0,0,0,Pakdasht,165000000,5500
88,2,1,1,1,Railway,2860000000,95333.33333333333
141,3,1,1,1,"Persian Gulf Martyrs Lake",3810000000,127000
140,3,1,1,1,"Persian Gulf Martyrs Lake",1790000000,59666.666666666664
120,2,1,1,1,"Persian Gulf Martyrs Lake",1530000000,51000
66,2,0,1,0,Beryanak,1000000000,33333.333333333336
70,2,1,1,1,Punak,3500000000,116666.66666666667
150,3,1,1,1,"Saadat Abad",20000000000,666666.6666666666
95,2,1,1,1,Golestan,950000000,31666.666666666668
127,2,1,1,1,"Southern Janatabad",6000000000,200000
123,3,1,1,1,Shahr-e-Ziba,3700000000,123333.33333333333
63,2,1,1,1,"Southern Janatabad",2000000000,66666.66666666667
90,2,1,1,1,Punak,3050000000,101666.66666666667
105,2,1,1,1,Pardis,605000000,20166.666666666668
180,3,1,1,1,Pasdaran,9900000000,330000
120,3,1,0,1,Pirouzi,3700000000,123333.33333333333
65,2,1,1,1,"Feiz Garden",2500000000,83333.33333333333
158,3,1,1,1,Farmanieh,10480000000,349333.3333333333
144,3,1,1,1,Punak,7632000000,254400
130,3,1,1,1,Gheitarieh,12300000000,410000
245,3,1,1,1,Farmanieh,26950000000,898333.3333333334
190,3,1,1,1,Kamranieh,24300000000,810000
63,2,1,1,1,"Central Janatabad",3000000000,100000
75,2,1,1,1,"East Ferdows Boulevard",2100000000,70000
88,2,1,0,1,Gholhak,4700000000,156666.66666666666
108,2,1,1,1,Pasdaran,9180000000,306000
117,2,1,1,1,Islamshahr,1579500000,52650
200,3,1,1,1,Pasdaran,12000000000,400000
65,1,1,1,0,Pirouzi,1750000000,58333.333333333336
90,2,1,1,1,"Central Janatabad",3780000000,126000
125,2,1,1,1,Heravi,8100000000,270000
140,3,1,1,1,Heravi,9100000000,303333.3333333333
71,2,0,1,1,Hashemi,1550000000,51666.666666666664
71,2,0,1,1,Jeyhoon,1640000000,54666.666666666664
236,4,1,1,1,Gheitarieh,20000000000,666666.6666666666
67,2,1,1,1,"Central Janatabad",2750000000,91666.66666666667
60,1,1,1,1,Punak,1750000000,58333.333333333336
220,3,1,1,1,Heravi,15400000000,513333.3333333333
44,1,1,1,0,Andisheh,350000000,11666.666666666666
68,1,1,1,1,Heravi,4115000000,137166.66666666666
100,2,1,1,1,Pasdaran,8000000000,266666.6666666667
86,2,1,1,1,Pardis,580000000,19333.333333333332
84,2,1,1,1,Pardis,560000000,18666.666666666668
94,2,1,1,1,Heravi,4800000000,160000
55,1,0,1,0,"West Ferdows Boulevard",1550000000,51666.666666666664
113,2,1,1,1,"Saadat Abad",7500000000,250000
71,2,1,1,1,Islamshahr,630000000,21000
70,2,1,1,0,"Dehkade Olampic",2000000000,66666.66666666667
200,3,1,1,1,Golestan,2400000000,80000
106,2,1,1,1,Golestan,1100000000,36666.666666666664
320,4,1,1,1,"Saadat Abad",24000000000,800000
114,2,1,1,1,"West Pars",3820000000,127333.33333333333
100,2,1,1,1,Punak,6000000000,200000
122,2,1,1,1,"Saadat Abad",5800000000,193333.33333333334
200,2,1,1,0,Damavand,3500000000,116666.66666666667
154,3,1,1,1,"Saadat Abad",12300000000,410000
210,3,1,1,1,Pasdaran,15750000000,525000
200,3,1,1,1,"East Ferdows Boulevard",11000000000,366666.6666666667
65,1,1,1,1,"Southern Janatabad",3000000000,100000
124,3,1,1,1,Pirouzi,3968000000,132266.66666666666
270,4,1,1,1,Farmanieh,37800000000,1260000
104,2,1,1,1,"East Ferdows Boulevard",5700000000,190000
150,3,1,1,1,Zaferanieh,10490000000,349666.6666666667
103,3,1,1,1,"West Ferdows Boulevard",3200000000,106666.66666666667
48,1,1,1,1,"West Ferdows Boulevard",1920000000,64000
165,3,1,1,1,Gheitarieh,12300000000,410000
135,2,1,1,0,Gheitarieh,7400000000,246666.66666666666
86,2,1,1,1,"Saadat Abad",6200000000,206666.66666666666
75,2,1,1,1,"East Ferdows Boulevard",2350000000,78333.33333333333
58,1,1,1,1,"East Ferdows Boulevard",1850000000,61666.666666666664
125,2,1,1,1,"Shahrake Gharb",21500000000,716666.6666666666
82,2,1,1,1,"Qazvin Imamzadeh Hassan",1886000000,62866.666666666664
58,2,1,1,1,Shahran,2200000000,73333.33333333333
101,2,1,1,1,Beryanak,2323000000,77433.33333333333
90,2,1,1,1,Niavaran,6800000000,226666.66666666666
180,3,1,1,1,Farmanieh,20700000000,690000
132,3,1,1,1,Gheitarieh,6250000000,208333.33333333334
153,3,1,1,1,Pasdaran,13000000000,433333.3333333333
166,3,1,1,1,Qalandari,12500000000,416666.6666666667
200,3,1,1,1,Pasdaran,17000000000,566666.6666666666
113,2,1,1,1,Pasdaran,8500000000,283333.3333333333
80,2,1,1,1,"Central Janatabad",3350000000,111666.66666666667
76,2,1,1,1,Jeyhoon,2000000000,66666.66666666667
128,3,1,1,1,Punak,5700000000,190000
210,3,1,1,1,"Shahrake Gharb",27000000000,900000
140,2,1,1,1,"Shahrake Gharb",12600000000,420000
75,1,1,1,1,"Central Janatabad",3000000000,100000
120,2,1,1,1,Pasdaran,7500000000,250000
120,2,1,1,1,Pasdaran,7500000000,250000
85,2,1,1,1,Ekhtiarieh,5000000000,166666.66666666666
105,2,1,1,1,Pardis,700000000,23333.333333333332
175,3,1,1,1,Farmanieh,15600000000,520000
170,3,1,1,1,Farmanieh,15350000000,511666.6666666667
75,2,1,1,1,Parand,395000000,13166.666666666666
160,3,1,1,1,Gheitarieh,15100000000,503333.3333333333
62,1,1,1,1,Shahran,1850000000,61666.666666666664
93,2,1,1,1,Rudhen,1450000000,48333.333333333336
75,2,1,1,1,Islamshahr,715000000,23833.333333333332
86,2,1,1,0,Islamshahr,1200000000,40000
120,2,1,1,1,"Southern Program Organization",4260000000,142000
95,2,1,1,1,Andisheh,1500000000,50000
70,2,1,1,0,"West Ferdows Boulevard",2120000000,70666.66666666667
75,2,1,1,0,"East Ferdows Boulevard",2000000000,66666.66666666667
81,2,1,0,1,Pardis,590000000,19666.666666666668
65,1,1,1,0,"West Ferdows Boulevard",1930000000,64333.333333333336
75,2,1,1,1,"East Ferdows Boulevard",2730000000,91000
106,2,1,1,0,"East Ferdows Boulevard",3150000000,105000
115,2,1,1,1,"East Ferdows Boulevard",4600000000,153333.33333333334
100,2,1,1,1,Shahr-e-Ziba,3000000000,100000
118,2,1,1,1,"East Ferdows Boulevard",4500000000,150000
116,2,1,1,1,"East Ferdows Boulevard",5100000000,170000
76,2,1,1,1,Shahr-e-Ziba,2200000000,73333.33333333333
74,2,1,1,0,"East Ferdows Boulevard",2300000000,76666.66666666667
96,2,1,1,1,"Saadat Abad",4500000000,150000
87,2,1,1,1,Pardis,625000000,20833.333333333332
43,1,1,1,0,"Northern Janatabad",1620000000,54000
155,3,1,1,1,Niavaran,17050000000,568333.3333333334
53,1,1,1,1,"East Ferdows Boulevard",1920000000,64000
160,3,1,1,1,Farmanieh,17600000000,586666.6666666666
78,2,1,1,1,Shahr-e-Ziba,2250000000,75000
230,3,1,1,1,Niavaran,25300000000,843333.3333333334
55,1,1,1,1,"West Ferdows Boulevard",1850000000,61666.666666666664
120,2,1,1,0,"Saadat Abad",11700000000,390000
78,2,1,1,1,"Southern Janatabad",3600000000,120000
95,2,1,1,1,"Southern Janatabad",4400000000,146666.66666666666
170,3,1,1,1,Gheitarieh,15400000000,513333.3333333333
175,3,1,1,1,"Shahrake Gharb",22750000000,758333.3333333334
115,3,1,1,1,Punak,4500000000,150000
113,2,1,1,1,Punak,4300000000,143333.33333333334
85,2,1,1,1,Punak,3380000000,112666.66666666667
140,3,1,1,1,"Saadat Abad",10000000000,333333.3333333333
90,2,1,1,1,"Saadat Abad",6500000000,216666.66666666666
63,1,1,0,0,Punak,2200000000,73333.33333333333
75,2,1,1,1,"Central Janatabad",3220000000,107333.33333333333
130,3,1,1,1,Punak,6240000000,208000
91,2,1,1,1,Punak,3350000000,111666.66666666667
121,3,1,1,1,"Persian Gulf Martyrs Lake",3650000000,121666.66666666667
140,3,1,1,1,"Saadat Abad",15500000000,516666.6666666667
126,2,1,1,1,"East Ferdows Boulevard",5500000000,183333.33333333334
110,1,1,1,1,Pasdaran,6600000000,220000
81,2,1,1,1,"Shahrake Qods",810000000,27000
64,2,1,1,1,Shahr-e-Ziba,2200000000,73333.33333333333
112,2,1,1,1,Shahr-e-Ziba,3680000000,122666.66666666667
192,3,1,1,1,Marzdaran,12670000000,422333.3333333333
164,3,1,1,1,Marzdaran,10000000000,333333.3333333333
135,3,1,1,1,Pasdaran,8100000000,270000
84,2,1,1,1,Shahran,3400000000,113333.33333333333
82,2,1,1,1,Shahran,3550000000,118333.33333333333
265,3,1,1,1,Farmanieh,20000000000,666666.6666666666
60,1,1,1,1,"Southern Janatabad",1950000000,65000
145,3,1,1,1,Pasdaran,15500000000,516666.6666666667
65,1,0,1,1,"Southern Janatabad",2000000000,66666.66666666667
60,1,1,1,0,"Southern Janatabad",2280000000,76000
63,2,1,1,1,"Southern Janatabad",2000000000,66666.66666666667
70,2,1,1,1,"Southern Janatabad",1950000000,65000
92,2,1,1,1,"Feiz Garden",3900000000,130000
98,2,1,1,1,Pasdaran,7800000000,260000
62,1,1,1,1,"Southern Janatabad",2280000000,76000
65,1,1,1,1,Punak,2900000000,96666.66666666667
90,2,1,1,1,Ozgol,5000000000,166666.66666666666
59,2,1,1,1,"Southern Janatabad",1900000000,63333.333333333336
63,2,1,1,1,"Southern Janatabad",2000000000,66666.66666666667
60,2,1,1,1,"Southern Janatabad",2200000000,73333.33333333333
70,2,1,1,1,"Southern Janatabad",2500000000,83333.33333333333
60,1,1,1,1,"Southern Janatabad",2200000000,73333.33333333333
165,3,1,1,1,Pasdaran,10500000000,350000
135,2,1,1,1,Zaferanieh,17500000000,583333.3333333334
65,1,1,1,1,"Southern Janatabad",2000000000,66666.66666666667
60,1,1,1,1,"Southern Janatabad",2250000000,75000
60,1,1,1,1,"Southern Janatabad",2250000000,75000
86,2,1,1,1,"Southern Janatabad",3600000000,120000
109,2,1,1,1,Heravi,6000000000,200000
98,2,1,1,0,Narmak,2842000000,94733.33333333333
80,2,1,1,1,"Central Janatabad",3120000000,104000
143,3,1,1,1,Gheitarieh,8860000000,295333.3333333333
95,2,1,1,1,"Saadat Abad",4550000000,151666.66666666666
86,2,1,1,1,Punak,3700000000,123333.33333333333
160,3,1,1,1,Gheitarieh,10000000000,333333.3333333333
200,3,1,1,1,Pasdaran,16580000000,552666.6666666666
74,1,1,1,1,Punak,3250000000,108333.33333333333
350,3,1,1,1,Zaferanieh,52500000000,1750000
87,2,1,1,1,"Northern Janatabad",3550000000,118333.33333333333
82,2,1,1,1,"West Ferdows Boulevard",3450000000,115000
55,1,1,1,1,Shahr-e-Ziba,2490000000,83000
148,3,1,1,1,Ekhtiarieh,8400000000,280000
55,1,1,0,1,Shahr-e-Ziba,2020000000,67333.33333333333
100,2,1,1,0,"Southern Janatabad",3800000000,126666.66666666667
55,1,0,1,0,"West Ferdows Boulevard",1550000000,51666.666666666664
130,3,1,1,1,"Central Janatabad",5300000000,176666.66666666666
335,4,1,1,1,"Saadat Abad",33500000000,1116666.6666666667
320,4,1,1,1,"Saadat Abad",40000000000,1333333.3333333333
192,3,1,1,1,"Saadat Abad",19500000000,650000
100,2,1,1,1,Gheitarieh,8000000000,266666.6666666667
148,3,1,1,1,"Saadat Abad",14800000000,493333.3333333333
145,2,1,1,1,"Shahrake Gharb",14700000000,490000
192,4,1,1,1,"Saadat Abad",22000000000,733333.3333333334
235,3,1,1,1,"North Program Organization",16450000000,548333.3333333334
225,3,1,1,1,Heravi,15750000000,525000
221,4,1,1,1,"Saadat Abad",25000000000,833333.3333333334
312,4,1,1,1,Farmanieh,45000000000,1500000
188,3,1,1,1,Ozgol,17672000000,589066.6666666666
170,2,1,1,1,Farmanieh,12400000000,413333.3333333333
198,3,1,1,1,Farmanieh,27720000000,924000
80,2,1,1,1,"North Program Organization",3100000000,103333.33333333333
170,3,1,1,1,Niavaran,18700000000,623333.3333333334
200,3,1,1,1,"Saadat Abad",12000000000,400000
101,3,1,1,1,Ekhtiarieh,6500000000,216666.66666666666
104,2,1,1,1,"Feiz Garden",3850000000,128333.33333333333
70,2,1,1,1,"Northern Janatabad",3200000000,106666.66666666667
76,2,1,1,0,Shahr-e-Ziba,2570000000,85666.66666666667
110,2,1,1,1,"Feiz Garden",4300000000,143333.33333333334
160,2,1,1,1,Pasdaran,16200000000,540000
179,3,1,1,1,Dorous,13800000000,460000
256,3,1,1,1,Dorous,18500000000,616666.6666666666
90,2,1,1,1,"Feiz Garden",3850000000,128333.33333333333
77,2,1,1,1,Shahr-e-Ziba,2570000000,85666.66666666667
96,2,1,1,1,Pasdaran,5600000000,186666.66666666666
75,1,1,1,1,"Central Janatabad",3250000000,108333.33333333333
79,2,1,1,1,Abazar,3000000000,100000
67,1,1,1,1,"Saadat Abad",3400000000,113333.33333333333
125,2,1,1,1,Shahr-e-Ziba,6400000000,213333.33333333334
75,2,1,1,0,Shahr-e-Ziba,1890000000,63000
75,2,1,1,0,Shahr-e-Ziba,1890000000,63000
91,2,1,1,1,"Saadat Abad",5400000000,180000
105,2,1,1,1,Parand,1417500000,47250
66,2,1,1,1,"Ostad Moein",1585000000,52833.333333333336
86,2,1,1,1,"Southern Janatabad",3270000000,109000
72,2,1,1,0,"Northern Janatabad",2380000000,79333.33333333333
84,2,1,1,1,"Saadat Abad",4600000000,153333.33333333334
128,2,1,1,1,Niavaran,12800000000,426666.6666666667
65,1,1,1,1,"West Ferdows Boulevard",3900000000,130000
140,3,1,1,1,Pasdaran,11800000000,393333.3333333333
115,2,1,1,1,Ekhtiarieh,7400000000,246666.66666666666
105,2,1,1,1,"Saadat Abad",5700000000,190000
87,2,1,1,1,Pardis,650000000,21666.666666666668
75,2,1,1,0,Shahr-e-Ziba,1890000000,63000
60,1,1,1,1,"Persian Gulf Martyrs Lake",875000000,29166.666666666668
68,1,1,1,1,"Southern Program Organization",2630000000,87666.66666666667
49,1,1,1,1,"West Ferdows Boulevard",2200000000,73333.33333333333
55,1,1,1,1,"West Ferdows Boulevard",2200000000,73333.33333333333
140,3,1,1,1,Punak,7700000000,256666.66666666666
257,4,1,1,1,"Persian Gulf Martyrs Lake",12850000000,428333.3333333333
82,2,1,1,1,Punak,4018000000,133933.33333333334
167,3,1,1,1,Punak,10688000000,356266.6666666667
53,1,0,1,0,"West Ferdows Boulevard",1640000000,54666.666666666664
51,1,0,1,0,"West Ferdows Boulevard",1550000000,51666.666666666664
54,1,1,1,0,"West Ferdows Boulevard",2130000000,71000
82,2,1,1,1,Sattarkhan,4100000000,136666.66666666666
75,2,1,1,1,"West Ferdows Boulevard",2800000000,93333.33333333333
98,2,1,1,1,"West Ferdows Boulevard",4520000000,150666.66666666666
75,2,1,1,0,Shahr-e-Ziba,1890000000,63000
70,1,1,1,1,Niavaran,5600000000,186666.66666666666
75,2,1,1,0,Shahr-e-Ziba,1890000000,63000
85,2,1,1,1,Jeyhoon,2100000000,70000
48,1,0,1,0,Parastar,980000000,32666.666666666668
75,2,1,1,0,Shahr-e-Ziba,1890000000,63000
246,3,1,1,1,Ekhtiarieh,22500000000,750000
168,3,1,1,1,Gheitarieh,14000000000,466666.6666666667
280,4,1,1,1,"Saadat Abad",38500000000,1283333.3333333333
75,2,1,1,0,Shahr-e-Ziba,1890000000,63000
84,2,1,1,1,Pardis,680000000,22666.666666666668
75,2,1,1,0,Shahr-e-Ziba,1890000000,63000
108,2,1,1,1,Gisha,5180000000,172666.66666666666
62,1,1,1,1,Shahr-e-Ziba,2580000000,86000
70,2,1,1,1,"Southern Janatabad",3370000000,112333.33333333333
180,3,1,1,1,Pasdaran,9900000000,330000
135,3,1,1,1,Abazar,6480000000,216000
75,2,1,1,0,Shahr-e-Ziba,1890000000,63000
108,2,1,1,1,Farmanieh,6200000000,206666.66666666666
91,2,1,1,1,Ekhtiarieh,5180000000,172666.66666666666
120,2,1,1,1,Gheitarieh,8900000000,296666.6666666667
112,2,1,1,0,Gheitarieh,7500000000,250000
75,2,1,1,0,Shahr-e-Ziba,1890000000,63000
123,2,1,1,1,Pirouzi,4059000000,135300
69,2,1,1,1,Pirouzi,1800000000,60000
66,1,1,0,1,Pirouzi,1850000000,61666.666666666664
80,2,1,1,1,"Ostad Moein",2150000000,71666.66666666667
44,1,1,1,0,Pirouzi,880000000,29333.333333333332
180,3,1,1,1,"East Ferdows Boulevard",9360000000,312000
164,3,1,1,1,"East Ferdows Boulevard",9840000000,328000
213,3,1,1,1,"East Ferdows Boulevard",14484000000,482800
100,2,1,1,1,Shahr-e-Ziba,3400000000,113333.33333333333
75,2,1,1,0,Shahr-e-Ziba,1890000000,63000
300,3,1,1,1,Niavaran,55500000000,1850000
126,3,1,1,1,"Ostad Moein",3000000000,100000
75,2,1,1,0,Shahr-e-Ziba,1890000000,63000
57,1,0,1,1,Parastar,1270000000,42333.333333333336
61,1,0,1,0,Shahr-e-Ziba,1990000000,66333.33333333333
79,2,1,1,1,Jeyhoon,1817000000,60566.666666666664
68,1,1,1,1,Pirouzi,2450000000,81666.66666666667
105,2,1,1,1,Pardis,1000000000,33333.333333333336
105,2,1,1,1,"Saadat Abad",7700000000,256666.66666666666
160,2,1,1,1,Pardis,1930000000,64333.333333333336
100,2,1,1,1,Pardis,585000000,19500
125,3,1,1,1,"Saadat Abad",12500000000,416666.6666666667
94,2,1,0,1,Pardis,990000000,33000
80,2,0,1,0,"Northern Janatabad",2200000000,73333.33333333333
75,2,1,0,1,Parastar,2300000000,76666.66666666667
99,3,1,1,1,"North Program Organization",4190000000,139666.66666666666
90,2,1,1,1,Shahr-e-Ziba,4099000000,136633.33333333334
129,3,1,1,1,Shahr-e-Ziba,4500000000,150000
245,3,1,1,1,Aqdasieh,36500000000,1216666.6666666667
102,2,1,1,0,Parastar,2030000000,67666.66666666667
141,3,1,1,1,Pakdasht,1225000000,40833.333333333336
96,2,1,1,1,Shahr-e-Ziba,3840000000,128000
155,3,1,1,1,Heravi,8600000000,286666.6666666667
300,3,1,1,1,Farmanieh,55500000000,1850000
87,2,1,1,1,Gheitarieh,6264000000,208800
87,2,1,1,1,Gheitarieh,6264000000,208800
105,2,1,1,1,Gheitarieh,6200000000,206666.66666666666
61,1,1,1,1,Shahran,1850000000,61666.666666666664
88,2,1,1,1,"East Ferdows Boulevard",3700000000,123333.33333333333
101,2,1,1,1,"West Ferdows Boulevard",3700000000,123333.33333333333
160,2,1,1,1,Pardis,1930000000,64333.333333333336
144,2,1,1,1,Railway,6600000000,220000
91,2,1,1,1,"Southern Janatabad",4500000000,150000
68,2,1,1,1,"West Ferdows Boulevard",2200000000,73333.33333333333
133,3,1,1,1,Rudhen,2260000000,75333.33333333333
71,2,1,1,1,"Si Metri Ji",1633000000,54433.333333333336
64,1,1,1,1,Pardis,680000000,22666.666666666668
132,2,1,1,1,Rudhen,2244000000,74800
95,2,1,1,1,Abazar,5600000000,186666.66666666666
95,2,1,1,1,Abazar,4500000000,150000
102,2,1,1,1,Abazar,5200000000,173333.33333333334
120,2,1,1,1,Abazar,6250000000,208333.33333333334
117,3,1,1,1,"East Ferdows Boulevard",4600000000,153333.33333333334
55,1,1,1,1,Karoon,1570000000,52333.333333333336
60,1,1,1,1,"Northern Chitgar",295000000,9833.333333333334
85,2,1,1,1,Jeyhoon,1900000000,63333.333333333336
80,2,0,1,1,Jeyhoon,1750000000,58333.333333333336
54,1,1,1,1,Jeyhoon,1500000000,50000
57,1,1,1,1,"Feiz Garden",1880000000,62666.666666666664
101,2,1,0,1,Pirouzi,3130000000,104333.33333333333
65,2,1,1,0,"Feiz Garden",1960000000,65333.333333333336
91,2,1,1,1,Punak,3230000000,107666.66666666667
105,2,1,1,1,Pardis,690000000,23000
86,2,1,1,1,"Central Janatabad",3480000000,116000
200,3,1,1,1,Farmanieh,35000000000,1166666.6666666667
87,2,1,1,1,Pardis,760000000,25333.333333333332
103,2,1,1,1,Shahran,3550000000,118333.33333333333
81,2,1,1,1,"East Pars",2891700000,96390
73,2,1,1,1,"Feiz Garden",2600000000,86666.66666666667
90,2,1,1,1,"Northern Chitgar",455000000,15166.666666666666
134,3,1,1,1,Andisheh,1600000000,53333.333333333336
60,1,1,1,1,Shahran,1850000000,61666.666666666664
51,1,1,1,0,Shahran,2020000000,67333.33333333333
108,2,1,1,0,Pardis,1300000000,43333.333333333336
86,2,1,1,1,Pardis,610000000,20333.333333333332
110,2,1,1,0,Pardis,1870000000,62333.333333333336
88,2,1,1,1,Pardis,740000000,24666.666666666668
85,2,1,1,1,Pardis,780000000,26000
100,2,1,1,1,Pirouzi,3000000000,100000
87,2,1,1,1,Pardis,715000000,23833.333333333332
191,3,1,1,1,Farmanieh,18145000000,604833.3333333334
91,2,1,1,1,Salsabil,2093000000,69766.66666666667
282,3,1,1,1,Farmanieh,36660000000,1222000
